ID,Day,Month,Year,Target_country,Item_language,Recruit_code,Target_public,People_reached,Item_title,Item_type,Media_type
158,23,10,2023,Italy,Italian,DC_Meeting,private forest owners,5,My Garden of Trees: un progetto di scienza partecipativo per la resilienza delle foreste al cambiamento climatico,presentation,meeting
111,25,6,2022,Germany,German,DC_Meeting,all,10,Phone calls,informal conversation,meeting
111,5,6,2022,Germany,German,DC_Meeting,all,10,Phone calls,informal conversation,meeting
95,1,8,2023,France,French,DC_Personal,private forest owners,,Présentation du projet MyGardenOfTrees,personalized email,e-mail
137,1,9,2023,Italy,Italian,DC_Personal,scientists,3,Proposta di adesione al progetto MyGardenOfTrees,personalized email,e-mail
244,1,11,2023,Switzerland,German,DC_Personal,private forest owners,1,Forstbetrieb Frenkentäler,personalized email,e-mail
245,1,11,2023,Switzerland,German,DC_Personal,forestry offices,1,Kantonsforstamt Wallis,personalized email,e-mail
246,1,11,2023,Switzerland,German,DC_Personal,forestry offices,1,Kantonsforstamt Graubünden,personalized email,e-mail
247,1,11,2023,Switzerland,German,DC_Personal,forestry offices,1,Kantonsforstamt St.Gallen,personalized email,e-mail
248,1,11,2023,Switzerland,German,DC_Personal,forestry offices,1,Kantonsforstamt Zürich,personalized email,e-mail
78,3,8,2022,France,French,DC_Personal,private forest owners,1,Présentation du projet MyGardenOfTrees,personalized email,e-mail
140,4,9,2023,Italy,Italian,DC_Personal,scientists,4,Proposta di adesione al progetto MyGardenOfTrees,personalized email,e-mail
56,5,4,2022,France,French,DC_Personal,private forest owners,2,Présentation du projet MyGardenOfTrees,personalized email,e-mail
55,5,4,2022,France,French,DC_Personal,private forest owners,1,Présentation du projet MyGardenOfTrees,personalized email,e-mail
73,5,7,2022,France,French,DC_Personal,forestry offices,1,Présentation du projet MyGardenOfTrees,personalized email,e-mail
97,5,9,2023,France,French,DC_Personal,private forest owners,4,Présentation du projet MyGardenOfTrees,personalized email,e-mail
256,5,12,2023,Switzerland,German,DC_Personal,private forest owners,5,president of the local nature conservation and bird protection community in Pfäffikon ZH,personalized email,e-mail
177,6,10,2022,Serbia,Croatian,DC_Personal,all,5,Poziv na suradnju - projekt MyGardenOfTrees,personalized email,e-mail
161,6,11,2023,Italy,Italian,DC_Personal,private forest owners,5,Proposta di adesione al progetto MyGardenOfTrees,personalized email,e-mail
162,6,11,2023,Italy,Italian,DC_Personal,scientists,1,Proposta di adesione al progetto MyGardenOfTrees,personalized email,e-mail
63,7,6,2022,France,French,DC_Personal,private forest owners,8,Présentation du projet MyGardenOfTrees,personalized email,e-mail
62,7,6,2022,France,French,DC_Personal,scientists,4,Présentation du projet MyGardenOfTrees,personalized email,e-mail
64,7,6,2022,France,French,DC_Personal,forestry offices,3,Présentation du projet MyGardenOfTrees,personalized email,e-mail
141,7,9,2023,Italy,Italian,DC_Personal,foresters from all sectors,2,Proposta di adesione e diffusione progetto MyGardenOfTrees,personalized email,e-mail
253,7,11,2023,Switzerland,German,DC_Personal,forestry schools,2,Försterschulen Lyss und Maienfeld,personalized email,e-mail
81,8,2,2023,France,French,DC_Personal,private forest owners,4,Présentation du projet MyGardenOfTrees,personalized email,e-mail
171,8,5,2023,Portugal,English,DC_Personal,scientists,2,Project introduction to Portugal scientists from COST Action ,personalized email,e-mail
36,8,5,2023,Denmark,English,DC_Personal,forest companies,1,Project introduction to Hedeselskabet (Denmark),personalized email,e-mail
145,8,9,2023,Italy,Italian,DC_Personal,foresters from all sectors,2,Proposta di adesione e diffusione progetto MyGardenOfTrees,personalized email,e-mail
84,11,4,2023,France,French,DC_Personal,forestry schools,2,Présentation du projet MyGardenOfTrees,personalized email,e-mail
96,14,8,2023,France,French,DC_Personal,private forest owners,2,Présentation du projet MyGardenOfTrees,personalized email,e-mail
254,14,11,2023,Switzerland,German,DC_Personal,forestry offices,1,Kantonsforstamt Luzern,personalized email,e-mail
20,15,5,2022,Croatia,Croatian,DC_Personal,all,7,Poziv na suradnju - projekt MyGardenOfTrees,personalized email,e-mail
23,15,6,2022,Croatia,Croatian,DC_Personal,all,9,Poziv na suradnju - projekt MyGardenOfTrees,personalized email,e-mail
65,15,6,2022,France,French,DC_Personal,scientists,4,Présentation du projet MyGardenOfTrees,personalized email,e-mail
4,15,6,2022,Austria,German,DC_Personal,forestry offices,1,Email to Georg Pircher,personalized email,e-mail
66,15,6,2022,France,French,DC_Personal,forestry offices,1,Présentation du projet MyGardenOfTrees,personalized email,e-mail
67,15,6,2022,France,French,DC_Personal,protected areas,1,Présentation du projet MyGardenOfTrees,personalized email,e-mail
88,15,6,2023,France,French,DC_Personal,private forest owners,6,Présentation du projet MyGardenOfTrees,personalized email,e-mail
9,15,7,2022,Bosnia & Herzegovina,Croatian,DC_Personal,foresters from all sectors,2,Call for participation,personalized email,meeting
176,15,7,2022,Serbia,Croatian,DC_Personal,scientists,2,Call for participation,personalized email,meeting
15,15,9,2023,Bulgaria,Bulgarian,DC_Personal,private forest owners,3,Email to university,personalized email,e-mail
16,15,10,2022,Bulgaria,Bulgarian,DC_Personal,foresters from all sectors,15,Individual recruiting,informal conversation,meeting
57,17,5,2022,France,French,DC_Personal,scientists,4,Présentation du projet MyGardenOfTrees,personalized email,e-mail
58,17,5,2022,France,French,DC_Personal,forestry offices,1,Présentation du projet MyGardenOfTrees,personalized email,e-mail
76,18,7,2022,France,French,DC_Personal,forestry schools,1,Présentation du projet MyGardenOfTrees,personalized email,e-mail
85,19,4,2023,France,French,DC_Personal,protected areas,8,Présentation du projet MyGardenOfTrees,personalized email,e-mail
86,20,4,2023,France,French,DC_Personal,private forest owners,4,Présentation du projet MyGardenOfTrees,personalized email,e-mail
87,20,4,2023,France,French,DC_Personal,scientists,1,Présentation du projet MyGardenOfTrees,personalized email,e-mail
90,22,6,2023,France,French,DC_Personal,private forest owners,6,Présentation du projet MyGardenOfTrees,personalized email,e-mail
152,22,9,2023,Italy,Italian,DC_Personal,private forest owners,2,Proposta di adesione al progetto MyGardenOfTrees,personalized email,e-mail
153,22,9,2023,Italy,Italian,DC_Personal,scientists,1,Proposta di adesione al progetto MyGardenOfTrees,personalized email,e-mail
59,24,5,2022,France,French,DC_Personal,forestry schools,1,Présentation du projet MyGardenOfTrees,personalized email,e-mail
60,24,5,2022,France,French,DC_Personal,policy-makers,1,Présentation du projet MyGardenOfTrees,personalized email,e-mail
98,25,9,2023,France,French,DC_Personal,private forest owners,2,Présentation du projet MyGardenOfTrees,personalized email,e-mail
165,27,6,2022,Poland,Polish,DC_Personal,forestry offices,5,Projekt naukowy MyGardenofTrees,personalized email,e-mail
183,28,3,2023,Slovenia,Croatian,DC_Personal,all,6,Poziv na suradnju - projekt MyGardenOfTrees,personalized email,e-mail
71,28,6,2022,France,French,DC_Personal,scientists,4,Présentation du projet MyGardenOfTrees,personalized email,e-mail
72,28,6,2022,France,French,DC_Personal,private forest owners,4,Présentation du projet MyGardenOfTrees,personalized email,e-mail
70,28,6,2022,France,French,DC_Personal,protected areas,1,Présentation du projet MyGardenOfTrees,personalized email,e-mail
94,31,7,2023,France,French,DC_Personal,scientists,3,Présentation du projet MyGardenOfTrees,personalized email,e-mail
206,31,7,2023,Switzerland,French,DC_Personal,forestry offices,2,Présentation du projet MyGardenOfTrees,personalized email,e-mail
204,31,7,2023,Switzerland,French,DC_Personal,forestry offices,1,Présentation du projet MyGardenOfTrees,personalized email,e-mail
205,31,7,2023,Switzerland,French,DC_Personal,forestry offices,1,Présentation du projet MyGardenOfTrees,personalized email,e-mail
207,31,7,2023,Switzerland,French,DC_Personal,forestry offices,1,Présentation du projet MyGardenOfTrees,personalized email,e-mail
208,31,7,2023,Switzerland,French,DC_Personal,forestry offices,1,Présentation du projet MyGardenOfTrees,personalized email,e-mail
241,31,10,2023,Switzerland,German,DC_Personal,forestry offices,1,Staatsforst Solothurn,personalized email,e-mail
242,31,10,2023,Switzerland,German,DC_Personal,private forest owners,1,MyClimate,personalized email,e-mail
280,23,9,2023,Finland,English,DC_Personal,forest companies,1,email to Tornator,personalized email,e-mail
5,25,6,2022,Austria,German,DC_Personal,forestry offices,1,Email to Wolfgang Weger,personalized email,e-mail
3,5,6,2022,Austria,German,DC_Personal,forestry offices,1,Email to Thomas Baschny ,personalized email,e-mail
190,1,3,2024,Slovenia,Slovene,OR_Long,farmers,100,Projekt MyGardenOfTrees v Sloveniji,outreach article,magazine
27,1,10,2022,Croatia,Croatian,OR_Long,foresters from all sectors,100,Inovativni znanstveni projekt: Održavanje šumskih populacija unutar njihovog trenutnog areala veliki je izazov,outreach article,magazine
28,1,10,2022,Croatia,Croatian,OR_Long,foresters from all sectors,100,New article in preparation-about the experience of participants from Hrvatske šume and about the project state of the art ,outreach article,magazine
7,1,10,2023,Belgium,French,OR_Long,foresters from all sectors,100,De la science participative pour des forets resilientes au changement climatique,outreach article,magazine
1,5,7,2022,Europe,English,OR_Long,all,,MyGardenOfTrees website English,website,website
74,5,7,2022,France,French,OR_Long,all,,MyGardenOfTrees website translated to French,website,website
105,6,9,2022,Germany,German,OR_Long,foresters from all sectors,500,Forscherin verteilt internationales Saatgut,outreach article,magazine
122,7,9,2022,Hungary,Hungarian,OR_Long,foresters from all sectors,100,Önkéntes részvételen alapuló kutatás az éghajlatváltozáshoz alkalmazkodni képes erdőkért,outreach article,magazine
35,7,10,2022,Czech Republic,Czech,OR_Long,all,,MyGardenOfTrees website translated to Czech,website,website
166,10,7,2022,Poland,Polish,OR_Long,all,,MyGardenOfTrees website translated to Polish,website,website
125,11,11,2022,Hungary,Hungarian,OR_Long,foresters from all sectors,50,Felhívás nemzetközi projektben való részvételre,press release,magazine
178,12,7,2022,Serbia,Serb,OR_Long,all,,MyGardenOfTrees website translated to Serb,website,website
10,12,9,2022,Bulgaria,Bulgarian,OR_Long,all,,MyGardenOfTrees website translated to Bulgarian,website,website
192,13,4,2024,Slovenia,Slovenian,OR_Long,all,,MyGardenOfTrees website translated to Slovenian,website,website
37,13,9,2023,Europe,Any,OR_Long,all,,MyGardenOfTrees video,video,video
119,14,7,2022,Greece,Greek,OR_Long,all,,MyGardenOfTrees website translated to Greek,website,website
193,14,7,2022,Spain,Spanish,OR_Long,all,,MyGardenOfTrees website translated to Spanish,website,website
133,14,12,2022,Italy,Italian,OR_Long,foresters from all sectors,200,Ricerca partecipativa per foreste climate-smart,outreach article,magazine
167,15,2,2023,Poland,Polish,OR_Long,foresters from all sectors,100,Nauka na rzecz lasów odpornych na zmiany klimatu ,press release,magazine
6,15,7,2023,Belgium,French,OR_Long,foresters from all sectors,100,De la science participative pour des forêts résilientes au changement climatique,outreach article,magazine
11,15,8,2023,Bulgaria,Bulgarian,OR_Long,all,100,MyGardenOfTrees,outreach article,magazine
